layer,glb_usage,glb_read,glb_write,glb_access,dram_read,dram_write,dram_access,macs,latency,energy_per_layer,power_per_layer,m,n,e,p,q,r,t,Latency
mobilenetv1.conv0,33976,150400,163840,314240,7808,32768,40576,884736,240608,13.087224,10878.461231546748,32,1,8,4,3,1,2,240608
mobilenetv1.conv1,18528,795648,557056,1352704,123904,32768,156672,9437184,904960,63.962048,14135.884016973127,32,1,4,4,4,2,2,904960
mobilenetv1.conv2,37584,416256,327680,743936,52736,65536,118272,2097152,585344,35.4344,12107.205335665865,64,1,4,4,11,3,4,585344
mobilenetv1.conv3,19296,1262592,540672,1803264,222208,16384,238592,9437184,1216256,84.92947199999999,13965.723005683012,64,1,4,4,4,2,2,1216256
mobilenetv1.conv4,37552,437248,163840,601088,52736,32768,85504,2097152,440192,27.416031999999998,12456.397208490838,128,1,4,4,11,6,2,440192
mobilenetv1.conv5,67120,3703808,2129920,5833728,336896,32768,369664,37748736,3411712,208.62048000000001,12229.665341036995,128,1,8,4,4,2,1,3411712
mobilenetv1.conv6,37552,872448,294912,1167360,103424,32768,136192,4194304,786688,47.497279999999996,12075.252196550602,128,1,4,4,11,6,2,786688
mobilenetv1.conv7,18144,1410048,532480,1942528,332800,8192,340992,9437184,1405696,106.84947199999999,15202.358404662173,128,1,4,4,4,2,2,1405696
mobilenetv1.conv8,35440,471040,147456,618496,78080,16384,94464,2097152,443712,29.382991999999998,13244.172796769073,256,1,4,4,11,6,2,443712
mobilenetv1.conv9,66480,3998720,2113536,6112256,611328,16384,627712,37748736,3857152,263.12672,13643.575363376916,256,1,8,4,4,2,1,3857152
mobilenetv1.conv10,35440,940032,278528,1218560,154112,16384,170496,4194304,838784,54.883103999999996,13086.349763467113,256,1,4,4,11,6,2,838784
mobilenetv1.conv11,17568,1704960,528384,2233344,609280,4096,613376,9437184,1887488,164.35487999999998,17415.197341651972,256,1,4,4,4,2,2,1887488
mobilenetv1.conv12,34384,538624,139264,677888,141440,8192,149632,2097152,534176,41.033128,15363.14922422572,512,1,4,4,11,6,2,534176
mobilenetv1.conv13,33568,5244928,2105344,7350272,2373632,8192,2381824,37748736,6660608,627.030144,18828.015220232144,512,1,4,4,4,2,2,6660608
mobilenetv1.conv14,34384,1075200,270336,1345536,280832,8192,289024,4194304,1042240,79.90932799999999,15334.151059256983,512,1,4,4,11,6,2,1042240
mobilenetv1.conv15,9568,3213312,526336,3739648,2371584,2048,2373632,9437184,4838912,532.2069759999999,21996.96857475399,512,1,2,4,4,2,4,4838912
mobilenetv1.conv16,17768,811008,135168,946176,546880,4096,550976,2097152,1165904,124.14273999999999,21295.533766073364,1024,1,2,4,11,6,4,1165904
